,Ministério da Educação,,,,,,,,,,,,,,,,,,,
,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Taxa de Distorção Idade-Série - Brasil, Regiões Geográficas e Unidades da Federação - 2024",,,,,,,,,,,,,,,,,,,,
"Taxa de Distorção Idade-Série por Localização e Dependência Administrativa, nos Níveis de Ensino Fundamental e Médio - Brasil, Regiões Geográficas e Unidades da Federação - 2024",,,,,,,,,,,,,,,,,,,,
Ano,Unidade Geográfica,Localização,Dependência Administrativa,Ensino Fundamental ,,,,,,,,,,,,Ensino Médio,,,,
,,,,Total,Anos Iniciais,Anos Finais,1º Ano,2º Ano,3º Ano,4º Ano,5º Ano,6º Ano,7º Ano,8º Ano,9º Ano,Total , 1ª Série, 2ª Série, 3ª Série, 4ª Série
,,,,,,,,,,,,,,,,,,,,
NU_ANO_CENSO,UNIDGEO,NO_CATEGORIA,NO_DEPENDENCIA,FUN_CAT_0,FUN_AI_CAT_0,FUN_AF_CAT_0,FUN_01_CAT_0,FUN_02_CAT_0,FUN_03_CAT_0,FUN_04_CAT_0,FUN_05_CAT_0,FUN_06_CAT_0,FUN_07_CAT_0,FUN_08_CAT_0,FUN_09_CAT_0,MED_CAT_0,MED_01_CAT_0,MED_02_CAT_0,MED_03_CAT_0,MED_04_CAT_0
2024,Sudeste,Total,Federal,11.0,4.8,14.8,2.4,3.7,5.4,6.6,5.3,10.4,15.6,15.7,16.9,16.4,16.4,16.1,16.4,21.2
2024,Sudeste,Urbana,Federal,11.0,4.8,14.8,2.4,3.7,5.4,6.6,5.3,10.4,15.6,15.7,16.9,16.6,16.5,16.4,16.3,21.3
2024,Sudeste,Rural,Federal,--,--,--,--,--,--,--,--,--,--,--,--,15.5,15.5,14.3,16.7,18.8
2024,Sudeste,Total,Estadual,8.7,3.3,10.6,1.1,2.2,4.3,4.2,4.5,8.7,9.9,11.6,12.4,15.6,19.5,15.6,11.1,23.1
2024,Sudeste,Urbana,Estadual,8.6,3.3,10.6,1.1,2.2,4.3,4.2,4.4,8.6,9.9,11.6,12.3,15.6,19.5,15.6,11.0,23.1
2024,Sudeste,Rural,Estadual,10.8,3.8,13.2,1.5,1.7,4.5,4.5,6.3,11.6,11.6,14.7,14.9,16.4,19.6,15.9,13.1,--
2024,Sudeste,Total,Municipal,8.5,5.9,15.1,1.7,3.9,7.0,8.1,8.6,14.8,16.0,15.8,13.5,8.9,10.1,8.9,7.8,8.1
2024,Sudeste,Urbana,Municipal,8.4,5.8,14.9,1.6,3.8,7.0,8.0,8.5,14.6,15.8,15.7,13.3,8.9,10.1,8.9,7.8,8.1
2024,Sudeste,Rural,Municipal,10.0,7.0,18.5,2.4,5.2,7.9,9.7,9.9,18.2,19.1,18.9,17.5,10.1,8.5,12.0,9.7,--
2024,Sudeste,Total,Privada,3.4,3.1,3.8,1.9,2.7,3.5,4.0,3.4,3.4,3.7,3.9,4.3,5.1,5.7,5.1,4.3,54.0
2024,Sudeste,Urbana,Privada,3.4,3.1,3.8,1.9,2.6,3.5,4.0,3.4,3.4,3.7,3.9,4.3,5.0,5.6,5.0,4.2,69.1
2024,Sudeste,Rural,Privada,5.6,4.5,7.0,2.0,5.0,5.2,5.6,4.8,6.0,6.8,7.9,7.4,12.6,13.8,12.1,11.5,11.6
2024,Sudeste,Total,Pública,8.5,5.4,12.4,1.6,3.6,6.5,7.4,7.8,11.2,12.4,13.3,12.8,15.6,19.3,15.6,11.2,19.8
2024,Sudeste,Urbana,Pública,8.5,5.3,12.3,1.5,3.5,6.5,7.3,7.7,11.0,12.2,13.2,12.7,15.6,19.3,15.6,11.1,19.8
2024,Sudeste,Rural,Pública,10.2,6.7,16.5,2.3,5.0,7.6,9.3,9.6,15.8,16.4,17.3,16.5,16.3,19.0,15.7,13.6,18.8
2024,Sul,Total,Total,9.3,5.8,13.9,1.2,3.4,6.8,8.6,9.2,12.4,14.3,15.0,14.1,16.0,20.0,15.2,11.1,23.9
2024,Sul,Urbana,Total,9.3,5.8,13.7,1.2,3.4,6.8,8.5,9.1,12.2,14.1,14.8,13.8,16.0,20.0,15.2,11.0,23.3
2024,Sul,Rural,Total,10.1,6.2,16.7,1.8,3.3,6.9,9.2,9.9,14.5,16.8,17.9,18.0,16.7,18.8,16.0,13.6,35.4
2024,Sul,Total,Federal,11.8,0.9,14.3,0.0,1.1,1.0,2.2,0.0,6.7,13.0,18.9,16.9,18.0,17.8,16.0,16.4,31.7
2024,Sul,Urbana,Federal,11.8,0.9,14.3,0.0,1.1,1.0,2.2,0.0,6.7,13.0,18.9,16.9,18.6,18.5,16.4,17.0,30.6
2024,Sul,Rural,Federal,--,--,--,--,--,--,--,--,--,--,--,--,14.5,12.9,13.7,13.2,49.4
2024,Sul,Total,Estadual,12.8,7.6,14.6,1.4,4.7,8.8,9.7,12.0,12.5,14.9,15.7,15.4,18.0,22.5,17.1,12.4,20.7
2024,Sul,Urbana,Estadual,12.8,7.6,14.5,1.4,4.6,8.9,9.7,12.0,12.5,14.8,15.6,15.2,18.0,22.6,17.1,12.4,20.6
2024,Sul,Rural,Estadual,13.1,7.7,15.8,2.0,5.8,8.3,9.7,12.2,12.7,15.8,16.9,17.8,17.3,20.2,16.6,13.9,24.9
2024,Sul,Total,Municipal,9.2,6.3,18.1,1.2,3.5,7.4,9.7,10.1,16.9,18.6,19.5,17.2,34.1,35.3,27.0,33.0,66.0
2024,Sul,Urbana,Municipal,9.2,6.4,18.1,1.1,3.6,7.5,9.7,10.1,16.9,18.7,19.5,17.1,33.6,34.2,25.5,34.4,61.4
2024,Sul,Rural,Municipal,9.0,5.9,18.0,1.8,2.9,6.7,9.2,9.5,16.6,18.1,19.3,18.4,36.6,41.7,33.1,24.6,100.0
2024,Sul,Total,Privada,2.1,1.7,2.6,1.3,1.2,1.7,2.2,1.9,2.2,2.5,2.7,3.0,3.7,4.0,4.2,2.8,23.9
2024,Sul,Urbana,Privada,2.1,1.7,2.6,1.3,1.2,1.7,2.2,1.9,2.2,2.5,2.7,3.0,3.7,4.0,4.1,2.7,23.9
2024,Sul,Rural,Privada,2.9,2.0,4.3,0.0,0.4,2.4,4.8,3.5,3.4,2.0,5.6,5.9,7.1,6.3,8.6,6.3,--
2024,Sul,Total,Pública,10.6,6.6,15.8,1.2,3.7,7.7,9.7,10.5,14.1,16.2,17.0,15.9,18.0,22.4,17.1,12.7,23.9
2024,Sul,Urbana,Pública,10.6,6.6,15.7,1.2,3.8,7.7,9.7,10.5,14.0,16.1,16.9,15.8,18.1,22.5,17.1,12.6,23.3
2024,Sul,Rural,Pública,10.2,6.2,16.9,1.9,3.3,7.0,9.2,9.9,14.6,16.9,18.0,18.1,17.1,19.4,16.4,13.9,35.4
2024,Centro-Oeste,Total,Total,9.9,7.2,13.5,2.3,4.5,8.5,9.8,10.8,12.8,13.7,13.5,14.0,15.0,17.2,15.2,11.6,74.1
2024,Centro-Oeste,Urbana,Total,9.6,6.9,13.0,2.3,4.3,8.2,9.5,10.3,12.3,13.3,13.0,13.6,14.7,16.9,15.0,11.1,77.2
2024,Centro-Oeste,Rural,Total,14.3,10.3,20.5,3.0,7.3,11.5,13.5,16.1,20.4,19.9,20.6,21.0,21.8,22.3,21.3,21.3,57.1
2024,Centro-Oeste,Total,Federal,5.8,10.4,5.3,0.0,14.6,16.3,13.3,5.2,2.9,6.7,5.0,6.1,15.4,12.8,13.0,20.5,43.2
2024,Centro-Oeste,Urbana,Federal,5.8,10.4,5.3,0.0,14.6,16.3,13.3,5.2,2.9,6.7,5.0,6.1,15.1,12.4,12.9,19.7,43.2
2024,Centro-Oeste,Rural,Federal,--,--,--,--,--,--,--,--,--,--,--,--,16.7,14.2,13.4,24.1,--
2024,Centro-Oeste,Total,Estadual,13.3,10.4,14.2,4.3,4.1,12.6,13.1,15.5,12.8,14.3,14.1,15.4,16.8,19.3,17.1,12.7,89.8
2024,Centro-Oeste,Urbana,Estadual,13.3,10.3,14.1,4.4,3.7,12.6,13.1,15.5,12.6,14.3,14.0,15.2,16.5,19.0,16.9,12.3,99.7
2024,Centro-Oeste,Rural,Estadual,14.1,11.1,16.1,3.5,7.4,13.3,13.5,16.2,15.0,15.0,15.5,18.9,23.4,24.6,23.4,20.9,57.1
2024,Centro-Oeste,Total,Municipal,9.7,7.8,18.8,2.1,5.3,9.1,10.8,11.8,17.5,19.7,20.1,18.5,11.3,13.2,8.6,11.3,--
2024,Centro-Oeste,Urbana,Municipal,9.2,7.5,17.6,2.0,5.1,8.9,10.5,11.3,16.2,18.6,18.7,17.1,10.6,12.2,8.0,11.6,--
2024,Centro-Oeste,Rural,Municipal,14.6,10.2,25.9,2.8,7.3,11.2,13.6,16.3,25.7,25.8,27.2,24.7,13.1,15.8,10.9,10.4,--
2024,Centro-Oeste,Total,Privada,3.3,2.6,4.4,1.8,1.8,2.8,3.5,3.0,6.1,3.6,3.7,3.9,4.3,5.2,4.4,3.0,0.0
2024,Centro-Oeste,Urbana,Privada,3.3,2.6,4.4,1.8,1.8,2.8,3.5,3.0,6.1,3.6,3.7,3.9,4.1,5.0,4.2,2.7,0.0
2024,Centro-Oeste,Rural,Privada,5.4,2.2,8.0,2.4,0.6,1.6,2.2,4.0,5.6,7.6,8.5,9.0,16.8,15.4,16.5,18.8,--
2024,Centro-Oeste,Total,Pública,11.3,8.2,15.2,2.4,5.1,9.7,11.2,12.5,14.2,15.6,15.3,15.9,16.8,19.0,16.9,13.1,74.8
2024,Centro-Oeste,Urbana,Pública,11.0,8.0,14.8,2.4,4.9,9.5,11.0,12.1,13.7,15.2,14.8,15.4,16.5,18.8,16.7,12.6,78.1
2024,Centro-Oeste,Rural,Pública,14.4,10.4,20.7,3.0,7.3,11.6,13.6,16.2,20.5,20.2,20.9,21.3,22.1,22.6,21.5,21.4,57.1
2024,Rondônia,Total,Total,9.1,6.0,12.7,1.3,4.4,7.7,9.1,8.4,10.9,12.0,13.2,14.6,15.1,19.5,13.2,11.5,13.6
2024,Rondônia,Urbana,Total,8.2,5.4,11.3,1.2,4.3,7.2,7.7,7.1,9.4,10.5,11.7,13.3,14.6,19.1,12.7,10.6,--
2024,Rondônia,Rural,Total,14.8,9.4,22.7,1.8,5.4,10.1,15.9,15.7,21.1,21.5,24.2,23.9,23.9,24.8,21.9,26.4,13.6
2024,Rondônia,Total,Federal,--,--,--,--,--,--,--,--,--,--,--,--,8.5,7.8,7.4,10.9,--
